"accession","X20181107_18.053_1_1_track1.x","X20181107_18.053_10_1_track10.x","X20181107_18.053_11_1_track11.x","X20181107_18.053_12_1_track12.x","X20181107_18.053_13_1_track13.x","X20181107_18.053_14_1_track14.x","X20181107_18.053_15_1_track15.x","X20181107_18.053_16_1_track16.x","X20181107_18.053_17_1_track17.x","X20181107_18.053_18_1_track18.x","X20181107_18.053_2_1_track2.x","X20181107_18.053_3_1_track3.x","X20181107_18.053_4_1_track4.x","X20181107_18.053_5_1_track5.x","X20181107_18.053_6_1_track6.x","X20181107_18.053_7_1_track7.x","X20181107_18.053_8_1_track8.x","X20181107_18.053_9_1_track9.x","protein.x","pval_milieu.x","pval_vesicular_fraction","pval_milieu__vesicular_fraction","padj_milieu.x","padj_vesicular_fraction","padj_milieu__vesicular_fraction","Ratio_XIC$descr","Ratio_XIC$UF.YEL","X20181107_18.053_1_1_track1.y","X20181107_18.053_10_1_track10.y","X20181107_18.053_11_1_track11.y","X20181107_18.053_12_1_track12.y","X20181107_18.053_13_1_track13.y","X20181107_18.053_14_1_track14.y","X20181107_18.053_15_1_track15.y","X20181107_18.053_16_1_track16.y","X20181107_18.053_17_1_track17.y","X20181107_18.053_18_1_track18.y","X20181107_18.053_2_1_track2.y","X20181107_18.053_3_1_track3.y","X20181107_18.053_4_1_track4.y","X20181107_18.053_5_1_track5.y","X20181107_18.053_6_1_track6.y","X20181107_18.053_7_1_track7.y","X20181107_18.053_8_1_track8.y","X20181107_18.053_9_1_track9.y","protein.y","Goodness_of_fit","pval_milieu.y","padj_milieu.y","Ratio_PC$descr","Ratio_PC$UF.YEL"
"gi|659916762|emb|CDP49845.1|",7.83493836932808,8.45042034816202,8.64928220430624,8.98777055481988,8.61897981586304,8.74609073914331,8.68803472927478,9.10233226736453,8.88231264819845,8.79008086121533,8.2564798339503,8.37888183460243,8.19813100364336,8.3550444855882,8.21942775869756,8.75833524306545,8.82470518304518,8.93821451060889,"c181.a1.a1",0.00157428713273937,0.00170310513333958,0.122286034041864,0.00419305322854621,0.0108450602743693,0.421304742668875,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",0.541965860830364,12,7,8,8,15,12,13,14,16,15,11,8,16,15,14,16,15,16,"c181.a1.a1","OK",0.323507914375562,0.531840236198567,"gi|659916762|emb|CDP49845.1| NAD(P)(+) transhydrogenase (AB-specific) [Propionibacterium freudenreichii subsp. freudenreichii]",1.13888888888889
"gi|659916763|emb|CDP49846.1|",7.70059078998115,8.49965550856376,8.8017949052682,8.99451383970494,8.67853259796686,8.57547105590509,8.60350090897712,8.23630272181359,8.51853483218449,7.89602373051882,6.9657375600591,7.96244702530074,7.52904650227181,7.65338131412329,7.64389409171494,8.22732140103645,8.02427655400948,8.507741690023,"c344.a1.a1",0.000155239604759484,0.762264635610106,0.00548024564151526,0.000623199607071389,0.836226946788116,0.0699201358393235,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",0.2307315577828,5,2,2,1,6,5,3,7,8,6,6,4,8,8,8,8,8,8,"c344.a1.a1","OK",0.0228551697970269,0.0686748642704923,"gi|659916763|emb|CDP49846.1| NADH dehydrogenase [Propionibacterium freudenreichii subsp. freudenreichii]",1.575
"gi|659916782|emb|CDP49833.1|",6.88515923238476,7.10647835695,7.04448697962112,7.12582270443507,7.06059856794646,7.15639580536771,7.06379104297269,7.00315666987853,7.3256800914111,7.53643096411488,6.21726826964975,5.98770104968781,6.78264916834715,6.75675747891421,6.83076073078084,6.84131492595698,7.41563511325284,4.91769228166167,"c672.a1.a1",0.0361442660531899,0.817046197683985,0.666744583068307,0.0595950100996047,0.872145652248415,0.785907444723068,"gi|659916782|emb|CDP49833.1| Methylase [Propionibacterium freudenreichii subsp. freudenreichii]",0.441357373616991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"gi|659916783|emb|CDP49834.1|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,0,0,0,1,2,2,3,2,1,1,1,2,"c596.a1.a1","OK",0.000430405914955469,0.00198746260729437,"gi|659916783|emb|CDP49834.1| Ribose-5-phosphate isomerase 3 [Propionibacterium freudenreichii subsp. freudenreichii]",8
"gi|659916784|emb|CDP49835.1|",8.50242366382185,7.85043131745991,7.42923781994049,8.16966612687837,7.9902726806248,7.87430161684492,7.85465555160672,7.90541776761391,7.83961625281143,7.72795315303904,8.68772482498709,8.64151459173025,8.39033873878671,8.44335829111511,8.50652669401181,8.49401979302903,8.5320745946728,8.7533012951508,"b99.a1.a1",2.00792971268269e-06,0.924450080185415,0.411260602947125,1.71137393973263e-05,0.948417304486518,0.641320878036882,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",4.77304354250772,22,5,6,4,13,14,14,12,15,15,21,21,22,21,21,22,21,21,"b99.a1.a1","OK",2.54558534108619e-08,2.66437932367021e-07,"gi|659916784|emb|CDP49835.1| Sulfate adenylyltransferase, large subunit/ ATP-sulfurylase, subunit 1 (ATP:sulfate adenylyltransferase) [Propionibacterium freudenreichii subsp. freudenreichii]",1.95918367346939
"gi|659916785|emb|CDP49836.1|",7.58066534093807,7.63933194213431,6.63654018410233,7.11044332846264,7.42492623297454,7.45618649206266,7.49984150437868,7.36731727712933,7.15725835697811,7.75331329224326,7.15143316875306,6.70002961327473,7.80404612135106,7.62389231081375,7.8715245673177,7.66775249453756,7.43185141221892,7.47079686327713,"c415.a1.a1",0.355768908103599,0.052761803727327,0.708569210349213,0.427540076115822,0.172707851565659,0.806052038056394,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.40750573524513,6,6,3,5,6,5,6,2,5,5,6,5,7,6,7,7,4,3,"c415.a1.a1","OK",0.409010414210027,0.630250709066509,"gi|659916785|emb|CDP49836.1| Sulfate adenylyltransferase subunit 2 (Sulfate adenylate transferase) (SAT) (ATP-sulfurylase small subunit) (Mitomycin biosynthesis protein V) [Propionibacterium freudenreichii subsp. freudenreichii]",1.18604651162791
"gi|659916787|emb|CDP49838.1|",7.97690938902613,8.32392956949417,8.86173458451536,9.00352411590236,8.88220212022382,8.71315510279721,8.98848606990733,8.49609533158795,8.28355911867698,8.27596021697086,8.33279790640301,8.38850337483106,7.66319274727991,7.86917265831756,8.11865257786552,7.72650819029585,7.48400327950574,7.97908156611129,"c116.a1.a1",3.64031118041717e-05,0.0172812454541894,0.221514617647078,0.000173463959322873,0.0709171109749697,0.535098645295858,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",0.201314916706163,21,5,4,4,10,8,8,9,8,7,20,21,20,21,20,20,16,19,"c116.a1.a1","OK",3.98760295115351e-14,9.27486908638669e-13,"gi|659916787|emb|CDP49838.1| Sulfite reductase [ferredoxin] [Propionibacterium freudenreichii subsp. freudenreichii]",2.82539682539683
"gi|659916788|emb|CDP49839.1|",9.31026711834994,7.74003798073773,7.31680878226153,7.29186056638082,7.61357243404014,7.56524283305067,7.63708299419979,7.70244025179155,7.76536594941347,8.29492833332067,8.7452157550261,8.66745319122256,9.295359241475,9.19793514821405,9.12491800985888,8.9779141864334,9.27195195534006,8.48452307111343,"b85.a1.a1",2.47192685995923e-07,0.281366306534207,0.178517343634134,3.26058923908908e-06,0.543125204947564,0.505776621419719,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",21.2027650777628,26,9,7,7,8,5,9,6,5,8,19,19,27,21,20,25,17,12,"b85.a1.a1","OK",3.1698819601878e-15,9.47945652856162e-14,"gi|659916788|emb|CDP49839.1| Sulfate-binding protein precursor [Propionibacterium freudenreichii subsp. freudenreichii]",2.90625
"gi|659916805|emb|CDP49813.1|",6.93758418831981,6.27124202853322,6.27124202853322,6.27124202853322,6.7373478978795,6.27124202853322,6.51719260487402,7.61386651259082,7.773018611731,7.76677866512422,7.10902651326,6.68647600171825,7.29314029011697,7.36665773110789,7.51413160805643,7.53354016292595,7.53361879124235,7.61580571031968,"c632.a1.a1",2.02700462587987e-05,9.16184132057256e-08,0.000102951610865663,0.000111184214132421,8.45943348599533e-06,0.00548678594600176,"gi|659916805|emb|CDP49813.1| Major facilitator super family MSF1 [Propionibacterium freudenreichii subsp. freudenreichii]",1.2084451241496,2,0,0,0,3,3,3,3,3,3,2,1,3,3,3,3,3,3,"c632.a1.a1","OK",0.434307569805795,0.644787597725861,"gi|659916805|emb|CDP49813.1| Major facilitator super family MSF1 [Propionibacterium freudenreichii subsp. freudenreichii]",1.27777777777778
"gi|659916818|emb|CDP49799.1|",7.16600035287253,6.86964742901411,6.48244915777765,6.48244915777765,6.71439992695656,6.81540619075667,6.88093894948512,7.40657166218684,7.60984100390186,7.74983055627124,6.48244915777765,6.48244915777765,7.03590087258022,7.07772530175296,7.20569193755822,7.46143088001344,7.64066613017241,7.36467930183154,"c449.a1.a1",0.334227787996775,3.8682752345854e-05,0.29558441932802,0.402526509891768,0.000522688897551296,0.574574625641134,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",1.00116818944371,4,1,0,0,5,5,6,4,6,5,3,1,6,6,6,6,7,6,"c449.a1.a1","OK",0.137532434902784,0.293776765710708,"gi|659916818|emb|CDP49799.1| TRNA processing ribonuclease BN [Propionibacterium freudenreichii subsp. freudenreichii]",1.40625
